px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
8.46292	0.243462	0	0	0	8.46292	0.243462	8.6	0.25	-3.00029	0	-1.67007e+3309
8.4485	0.251375	-0.000719048	1.97054e-17	1.38778e-17	8.44818	0.251553	8.45	0.25	-3.00027	0	0.000275949
8.47148	0.245643	-0.00702924	6.11524e-06	6.02477e-07	8.56759	0.241943	8.45	0.25	0	0	0.127921
8.4644	0.248332	-0.00906861	-4.77768e-05	-6.90485e-06	8.45582	0.253997	8.45	0.25	0	0	0.00799312
8.37522	0.249519	-0.906468	0.00207143	0.000519686	8.42544	0.254042	8.35	0.25	-1.81979	0	28.2967
8.312	0.249138	-0.92107	0.00184124	0.000457848	8.23962	0.24916	8.25	0.25	-1.81978	0	0.340409
8.10853	0.224133	-1.26024	0.274881	0.0809418	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994	36.3931
8.01526	0.200341	-1.29341	0.326815	0.0918049	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993	1.90352
7.81946	0.339021	-1.57112	-1.44351	-0.684479	7.61269	0.155818	7.7	0.15	-2.99982	0	25.3044
7.73329	0.320692	-1.61504	-0.932673	-0.47685	7.54016	0.159641	7.55	0.15	-2.99982	0	4.06009
7.58808	0.240845	-1.64709	-0.102073	-0.0315232	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239	3.50205
7.46999	0.213142	-1.64267	-0.0287649	-0.0640417	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823	2.60335
7.31513	0.18655	-1.92741	0.056391	0.0325424	7.20598	0.00492725	7.2	9.49949e-07	-2.72851	-0.909507	19.644
7.18541	0.128979	-1.92848	0.178332	0.164738	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499	2.82156
7.07715	0.0173776	-1.90103	0.415123	0.546526	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898	4.22045
6.96775	-0.081546	-1.92054	0.573634	0.75653	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897	2.55125
6.85189	-0.135995	-1.97958	0.463853	0.195205	6.66966	-0.346668	6.75	-0.349999	-2.00076	-2.00075	6.5752
6.75086	-0.231925	-2.01704	0.563602	0.316684	6.64329	-0.462604	6.65	-0.449999	-2.00076	-2.00075	3.47813
6.71169	-0.41864	-2.04055	0.960733	1.1603	6.60862	-0.557035	6.6	-0.549999	-0.998836	-1.99769	7.07949
6.64543	-0.525291	-2.0672	1.04739	1.18955	6.56029	-0.650892	6.55	-0.65	-0.99884	-1.99769	1.18977
6.60729	-0.696012	-2.13003	1.26851	1.46805	6.40696	-0.842921	6.5	-0.85	-0.908747	-3.63498	3.74215
6.56233	-0.836082	-2.16673	1.36209	1.45167	6.45805	-1.05268	6.45	-1.05	-0.908739	-3.63494	2.90349
6.43864	-0.930562	-2.12466	1.11932	0.689989	6.38626	-1.15695	6.35	-1.15	-1.81897	-1.81898	15.8862
6.37045	-1.05762	-2.15963	1.15268	0.658323	6.25499	-1.25007	6.25	-1.25	-1.81896	-1.81896	2.52198
6.48421	-1.28464	-2.27363	1.65112	1.53452	6.43125	-1.48148	6.3	-1.45	0.909739	-3.63894	45.1316
6.479	-1.43229	-2.3124	1.72656	1.50286	6.36328	-1.65656	6.35	-1.65	0.909727	-3.63891	3.17615
6.39422	-1.55341	-2.2665	1.567	1.03414	6.3228	-1.81431	6.3	-1.8	-0.999494	-2.9985	21.113
6.37172	-1.69344	-2.30809	1.59978	0.992089	6.24641	-1.95075	6.25	-1.95	-0.999489	-2.99847	4.0887
6.42312	-1.86878	-2.42658	1.78006	1.20673	6.31851	-2.10969	6.3	-2.1	0.999984	-2.99994	15.3103
6.43292	-2.01044	-2.46099	1.82357	1.17491	6.34644	-2.23829	6.35	-2.25	0.999979	-2.99994	2.95645
6.40043	-2.17277	-2.47183	1.78005	0.990997	6.32593	-2.40018	6.35	-2.4	0	-2.72613	8.98167
6.41473	-2.32956	-2.50417	1.81606	0.960818	6.34927	-2.55175	6.35	-2.55	0	-2.72611	2.68134
6.45157	-2.50122	-2.57513	1.88493	0.989864	6.43125	-2.71878	6.4	-2.7	0.909499	-2.72851	5.12176
6.48359	-2.65656	-2.6017	1.92204	0.965067	6.43257	-2.84245	6.45	-2.85	0.909503	-2.72851	1.86983
6.47589	-2.80721	-2.60644	1.89614	0.854756	6.46536	-3.00452	6.45	-3	0	-2.99754	5.2112
6.5022	-2.9541	-2.63322	1.91841	0.828065	6.44119	-3.14955	6.45	-3.15	0	-2.99754	2.1244
6.54601	-3.12281	-2.68698	1.96068	0.8329	6.52249	-3.32007	6.5	-3.3	0.910402	-2.7312	3.57103
6.59002	-3.28101	-2.71055	1.98798	0.809836	6.5453	-3.45745	6.55	-3.45	0.910402	-2.7312	1.68504
6.66574	-3.44391	-2.77448	2.05411	0.852785	6.6358	-3.59197	6.65	-3.6	1.81722	-2.72583	5.14278
6.73779	-3.59704	-2.79538	2.09192	0.83941	6.76011	-3.75457	6.75	-3.75	1.81721	-2.72581	1.26262
6.78741	-3.75025	-2.79591	2.10157	0.78964	6.83625	-3.92723	6.8	-3.9	0.907988	-2.72396	2.046
6.86076	-3.90311	-2.81592	2.13105	0.771649	6.85997	-4.05805	6.85	-4.05	0.907976	-2.72393	1.21918
6.90874	-4.05374	-2.80732	2.13181	0.715862	6.86943	-4.18507	6.9	-4.2	0.909334	-2.72801	2.34077
6.97891	-4.2055	-2.82396	2.15217	0.693377	6.94332	-4.34473	6.95	-4.35	0.90933	-2.72799	1.08254
7.00446	-4.34612	-2.75985	2.12002	0.588885	7.05156	-4.49706	7	-4.45	0.910054	-1.8201	12.411
7.07504	-4.486	-2.76665	2.14057	0.575479	7.04099	-4.55018	7.05	-4.55	0.910054	-1.8201	0.284984
7.13215	-4.62205	-2.7467	2.14311	0.53442	7.10252	-4.67934	7.1	-4.7	0.908302	-2.72489	1.5771
7.19962	-4.76643	-2.75634	2.15423	0.513723	7.14735	-4.86125	7.15	-4.85	0.908297	-2.72489	0.637373
7.29784	-4.91277	-2.80771	2.19319	0.53771	7.3138	-5.05204	7.25	-5	1.81907	-2.72861	4.01733
7.37007	-5.05736	-2.81669	2.20147	0.513796	7.30424	-5.15404	7.35	-5.15	1.81907	-2.72861	0.753987
7.43134	-5.19569	-2.80056	2.19852	0.473676	7.29446	-5.23429	7.4	-5.3	0.908194	-2.7246	1.595
7.50429	-5.34285	-2.81125	2.20184	0.447823	7.44737	-5.45308	7.45	-5.45	0.90819	-2.72457	0.848814
7.58131	-5.47964	-2.80681	2.20756	0.423198	7.63082	-5.61863	7.55	-5.55	1.81974	-1.81974	0.774719
7.66584	-5.61395	-2.81211	2.22016	0.41107	7.64356	-5.66706	7.65	-5.65	1.81972	-1.81972	0.183204
