px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
0	0.1	0	0	0	0	0.1	0	0	0	0	1.68352e-4941
0.615777	-0.653028	0	0	0	0	0	0	0	0	0	3.08136
1.54993	-0.151548	0.456837	-1.38778e-17	2.77556e-17	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339	0.697512
1.67477	0.0235748	1.74842	-0.0873285	-0.0493051	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339	10.7628
3.87408	-0.133738	1.9119	-0.0729952	-0.0143392	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323	1.32713
3.94779	0.140187	2.10256	0.375589	0.289871	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323	6.25082
6.83324	0.412534	2.54833	-0.0630199	0.357175	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847	2.53911
6.75388	0.462808	2.64552	0.0143331	0.401	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847	1.64623
9.06829	0.592665	2.74299	0.221015	0.260331	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526	0.343004
9.03208	0.730744	2.88453	0.366874	0.33192	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526	2.47732
11.5471	1.6568	3.02435	0.27936	0.0814829	11.5756	1.6669	11.3468	1.427	2.49328	0.600781	1.20225
11.5287	1.57939	2.84127	0.296536	0.139307	11.4447	1.42958	11.3468	1.427	2.49328	0.600781	1.06078
13.5936	2.3133	2.82259	0.38179	0.105307	13.5921	2.31191	13.827	2.07905	2.5429	0.724947	0.00781763
13.6095	2.22705	2.76563	0.345328	0.100681	13.6572	1.99915	13.827	2.07905	2.5429	0.724947	1.29442
16.595	2.89329	3.02949	0.0342508	-0.1658	16.6456	2.903	16.3554	2.85243	2.58284	0.844365	2.08144
16.5342	2.88282	2.95846	0.0344209	-0.179719	16.282	2.84648	16.3554	2.85243	2.58284	0.844365	0.928883
19.0059	3.69636	2.92919	0.437217	0.194746	19.0106	3.70555	18.923	3.74161	2.61382	0.95648	0.423074
19.0737	3.73136	2.84819	0.503769	0.283775	19.363	3.87122	18.923	3.74161	2.61382	0.95648	1.49024
21.3209	4.73289	2.84032	0.426709	0.0498827	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891	0.210094
21.3822	4.73833	2.94048	0.377906	-0.0164189	21.6213	4.74762	21.5215	4.73855	2.63679	1.05891	0.874065
24.0546	5.56507	3.06574	0.189436	-0.126776	24.0787	5.56967	24.1437	5.83295	2.65286	1.14953	0.494179
24.1583	5.61576	3.19795	0.191891	-0.118746	24.5601	5.92334	24.1437	5.83295	2.65286	1.14953	3.2928
26.6046	6.95259	3.19066	0.644667	0.247532	26.6052	6.96102	26.7833	7.01246	2.6632	1.22647	0.377096
26.5933	6.94033	3.27	0.58221	0.143238	26.5419	6.90075	26.7833	7.01246	2.6632	1.22647	0.138648
29.5519	8.07729	3.36601	0.240127	-0.176346	29.5864	8.08789	29.4352	8.26299	2.66893	1.28822	0.959246
29.5372	8.08223	3.26326	0.2382	-0.185655	29.4716	8.24519	29.4352	8.26299	2.66893	1.28822	0.246775
31.9428	9.8686	3.2594	0.844069	0.327157	31.9416	9.88017	32.0955	9.56901	2.67105	1.33358	0.73455
31.9027	9.83138	3.29449	0.783149	0.239066	31.7928	9.49891	32.0955	9.56901	2.67105	1.33358	0.862409
34.6297	10.7397	2.72345	0.241405	-0.263952	34.6157	10.6988	34.7608	10.9139	2.67035	1.3617	2.14885
34.725	10.7913	2.97806	0.253281	-0.223713	35.0599	10.9953	34.7608	10.9139	2.67035	1.3617	2.73678
37.1358	12.0781	3.0038	0.604757	0.150751	37.1404	12.0883	37.4287	12.2803	2.66736	1.37209	0.437548
37.2145	12.0985	3.17442	0.533337	0.0189503	37.4973	12.2943	37.4287	12.2803	2.66736	1.37209	1.7786
40.2788	13.4478	3.45053	0.256032	-0.177767	40.3285	13.4666	40.0971	13.6505	2.66232	1.36459	1.85558
40.2164	13.4336	3.26454	0.246725	-0.211359	39.9009	13.6243	40.0971	13.6505	2.66232	1.36459	1.24865
42.7641	14.8206	3.2613	0.602997	0.155306	42.7664	14.8294	42.7638	15.0065	2.65515	1.33938	0.393824
42.7396	14.8157	3.32878	0.567118	0.0934669	42.5714	14.9817	42.7638	15.0065	2.65515	1.33938	0.273669
45.3361	16.5417	3.4642	0.561544	0.026214	45.3572	16.5524	45.4265	16.3307	2.64546	1.29701	0.401378
45.3844	16.5565	3.40773	0.583632	0.0793811	45.649	16.5213	45.4265	16.3307	2.64546	1.29701	0.831926
48.1523	17.2915	3.30186	0.138674	-0.25977	48.1541	17.2835	48.0823	17.6063	2.6326	1.23832	0.389876
48.1275	17.2825	3.13324	0.0844593	-0.367618	47.9331	17.5349	48.0823	17.6063	2.6326	1.23832	0.524118
50.6268	19.0544	2.9349	0.810743	0.338355	50.6228	19.0721	50.7276	18.8172	2.61569	1.16454	1.64943
50.6058	19.025	3.08214	0.673958	0.116175	50.5737	18.7834	50.7276	18.8172	2.61569	1.16454	0.57896
53.6812	19.887	3.14028	0.0161975	-0.398463	53.7268	19.8982	53.3577	19.9486	2.59372	1.07716	1.88394
53.6543	19.8745	3.09246	-0.00257048	-0.438188	53.5277	19.862	53.3577	19.9486	2.59372	1.07716	0.229434
56.0666	21.0685	2.69435	0.453346	0.138042	56.0322	21.0923	55.9669	20.9874	2.56561	0.978022	2.24954
56.0339	21.0488	2.76657	0.415691	0.094358	55.867	20.985	55.9669	20.9874	2.56561	0.978022	0.508884
58.6442	21.7803	2.86259	0.155538	-0.137314	58.6632	21.7821	58.5484	21.9225	2.53033	0.869205	0.49253
58.6447	21.7896	2.96115	0.194376	-0.0743888	58.5799	21.9815	58.5484	21.9225	2.53033	0.869205	0.130069
60.8736	22.7816	2.90647	0.505795	0.172039	60.8722	22.7876	61.0941	22.7449	2.48697	0.753031	0.193616
60.8463	22.7703	2.87932	0.504488	0.176293	60.7648	22.6398	61.0941	22.7449	2.48697	0.753031	0.216522
63.3695	23.4099	2.87899	0.121202	-0.182979	63.3821	23.4069	63.5955	23.4479	2.43482	0.631987	0.442108
63.4546	23.439	2.82278	0.0697832	-0.25216	63.7478	23.7442	63.5955	23.4479	2.43482	0.631987	2.07577
66.3013	23.9868	2.99434	0.30942	0.0705723	66.3403	23.9959	66.0431	24.0276	2.37349	0.508655	1.3092
66.214	23.9625	2.62449	0.275514	0.0228322	65.8838	23.9541	66.0431	24.0276	2.37349	0.508655	2.5825
68.2627	24.3606	2.62025	0.176811	-0.0547763	68.262	24.3582	68.4273	24.4824	2.30293	0.385623	0.0190691
68.3488	24.3937	2.67577	0.192536	-0.0358295	68.6759	24.6059	68.4273	24.4824	2.30293	0.385623	2.0051
70.8093	24.8786	2.78762	0.24285	0.0193641	70.8275	24.8844	70.7384	24.8137	2.22347	0.265395	0.325333
70.7789	24.8635	2.54145	0.192314	-0.055414	70.7403	24.6728	70.7384	24.8137	2.22347	0.265395	0.69402
72.8911	24.7189	2.56426	-0.177256	-0.254265	72.8923	24.7135	72.9675	25.025	2.13584	0.150292	0.113865
72.9401	24.7374	2.56589	-0.179264	-0.267567	73.0732	25.0343	72.9675	25.025	2.13584	0.150292	0.70666
75.025	25.2374	2.17376	0.268181	0.181418	75.0021	25.2595	75.1062	25.1224	2.04114	0.0423626	1.28551
75.0104	25.2317	2.15488	0.261528	0.175706	74.9748	25.1377	75.1062	25.1224	2.04114	0.0423626	0.0617124
77.1107	24.9427	2.23531	-0.348511	-0.325823	77.1225	24.9297	77.1475	25.1137	1.9408	-0.0566978	0.753653
77.1347	24.9512	2.22578	-0.368511	-0.358655	77.1386	25.2948	77.1475	25.1137	1.9408	-0.0566978	0.223277
79.11	25.0069	1.88235	0.0571313	0.142893	79.1089	25.0369	79.0861	25.0086	1.83649	-0.145607	1.55415
79.1203	25.0088	1.89911	0.0665075	0.15539	79.1718	24.9698	79.0861	25.0086	1.83649	-0.145607	0.0245267
80.799	24.873	1.97644	-0.033558	-0.0066823	80.8074	24.8688	80.9183	24.8178	1.73008	-0.223536	0.115441
80.8487	24.8773	1.85746	-0.123975	-0.153685	81.1423	24.8704	80.9183	24.8178	1.73008	-0.223536	1.30283
82.5903	24.6376	2.01458	-0.102019	-0.0401886	82.6216	24.6393	82.6423	24.5525	1.6235	-0.29012	0.422558
82.5693	24.6271	1.88014	-0.209569	-0.217473	82.5085	24.8114	82.6423	24.5525	1.6235	-0.29012	0.360706
84.1607	24.5423	1.86233	-0.0182075	0.0367928	84.1733	24.5504	84.2584	24.2245	1.51869	-0.345444	0.266039
84.1616	24.5421	1.78763	-0.059104	-0.0405453	84.2898	24.3312	84.2584	24.2245	1.51869	-0.345444	0.184439
85.6356	23.8191	1.87289	-0.563008	-0.32595	85.6378	23.808	85.7688	23.8451	1.41749	-0.390006	0.277763
85.6921	23.838	1.92155	-0.506339	-0.259852	85.9743	23.7547	85.7688	23.8451	1.41749	-0.390006	0.887803
86.9823	23.4889	1.41204	-0.351249	-0.0193248	86.9449	23.527	87.1776	23.4252	1.32159	-0.424654	1.49372
87.0845	23.5232	1.46071	-0.308049	-0.0207197	87.6171	23.5127	87.1776	23.4252	1.32159	-0.424654	3.50813
88.735	22.7996	1.98573	-0.362772	-0.03635	88.8227	22.7869	88.4904	22.9745	1.23248	-0.450514	2.4287
88.6711	22.7724	1.87975	-0.542843	-0.284186	88.4191	22.9498	88.4904	22.9745	1.23248	-0.450514	0.949146
89.5723	22.2595	1.2733	-0.683526	-0.227719	89.4967	22.3082	89.7145	22.5017	1.15138	-0.468904	2.74403
89.6243	22.2768	1.3159	-0.602281	-0.124341	89.7821	22.4826	89.7145	22.5017	1.15138	-0.468904	0.642548
90.5154	21.6585	1.23459	-0.592572	-0.0424982	90.5133	21.6677	90.858	22.0141	1.07929	-0.481241	0.0651469
90.6007	21.6863	1.31533	-0.433795	0.136461	90.8419	22.0974	90.858	22.0141	1.07929	-0.481241	1.75168
91.7066	21.1195	1.40435	-0.354721	0.103002	91.7178	21.1152	91.9302	21.5174	1.01698	-0.488964	0.0545425
91.7521	21.1277	1.36467	-0.453742	-0.0991676	92.0492	21.5289	91.9302	21.5174	1.01698	-0.488964	2.1222
92.8506	20.938	1.29192	-0.0892166	0.182536	92.8599	20.9537	92.9411	21.016	0.964993	-0.493443	0.360713
92.9028	20.9639	1.18251	-0.102348	0.0792197	93.3186	21.0712	92.9411	21.016	0.964993	-0.493443	2.78039
93.5198	20.2455	1.00028	-0.860847	-0.420884	93.4668	20.2155	93.9011	20.513	0.92369	-0.495919	1.65196
93.5807	20.2928	1.12167	-0.565975	-0.055326	93.7423	20.5071	93.9011	20.513	0.92369	-0.495919	1.27534
95.1903	19.6653	1.86883	0.00419551	0.36459	95.3229	19.6585	94.8209	20.01	0.893308	-0.497439	5.69759
94.9939	19.6575	1.39602	-0.331174	-0.0576272	94.494	19.8854	94.8209	20.01	0.893308	-0.497439	7.73199
95.5576	19.6775	1.03859	-0.1609	0.0735991	95.5039	19.6984	95.7116	19.5078	0.87398	-0.498816	1.53634
95.5568	19.6767	0.979464	-0.188001	0.030067	95.6097	19.5804	95.7116	19.5078	0.87398	-0.498816	0.0694504
96.2687	19.1762	1.02268	-0.614765	-0.237539	96.2641	19.1597	96.5842	19.0065	0.865773	-0.500589	0.239292
96.3132	19.1888	1.08038	-0.530386	-0.151276	96.559	18.8688	96.5842	19.0065	0.865773	-0.500589	0.536058
97.4518	18.7318	1.42587	-0.170548	0.170625	97.5286	18.727	97.45	18.506	0.868716	-0.503009	1.80861
97.4104	18.7271	1.2777	-0.320617	-0.0455653	97.5333	18.1735	97.45	18.506	0.868716	-0.503009	0.781235
98.2233	18.3711	1.20286	-0.362935	-0.0452013	98.2105	18.3739	98.3198	18.0049	0.882805	-0.506023	0.0581451
98.2335	18.3669	1.13208	-0.448265	-0.184282	98.4162	18.1556	98.3198	18.0049	0.882805	-0.506023	0.439586
99.0137	17.3821	1.39443	-1.0686	-0.431179	99.0363	17.357	99.2049	17.503	0.908006	-0.509278	0.610547
99.036	17.4177	1.39651	-0.711886	0.0487836	98.9782	17.2949	99.2049	17.503	0.908006	-0.509278	0.856845
100.001	16.9571	1.14956	-0.373121	0.220846	99.9969	16.9882	100.117	17.0001	0.944242	-0.512134	0.584798
100.059	16.9723	1.13427	-0.38439	0.140067	100.441	16.9521	100.117	17.0001	0.944242	-0.512134	1.88266
101.161	16.5411	1.36603	-0.202946	0.163952	101.204	16.5368	101.065	16.497	0.991362	-0.513687	0.560254
101.136	16.5316	1.23888	-0.320861	0.00283046	101.169	16.4353	101.065	16.497	0.991362	-0.513687	0.37869
102.342	16.3939	1.42127	0.108151	0.255422	102.387	16.3992	102.063	15.9949	1.04911	-0.512803	0.767955
102.262	16.3852	1.20923	0.0545939	0.207383	102.081	15.8359	102.063	15.9949	1.04911	-0.512803	1.60241
103.028	15.3999	1.08861	-1.18855	-0.636945	103.003	15.353	103.119	15.4967	1.11708	-0.508169	2.54959
102.97	15.47	1.18394	-0.580399	0.106741	102.776	15.1195	103.119	15.4967	1.11708	-0.508169	2.91582
104.084	15.2401	1.19971	0.0170461	0.416205	104.114	15.2708	104.244	15.0064	1.19469	-0.498349	0.826178
104.052	15.2262	1.22421	-0.00878638	0.409891	103.905	14.7607	104.244	15.0064	1.19469	-0.498349	0.686386
105.502	14.4713	1.49648	-0.866283	-0.359108	105.541	14.4412	105.447	14.5293	1.28111	-0.481861	2.22128
105.458	14.4973	1.56715	-0.606758	-0.0357293	105.316	14.0026	105.447	14.5293	1.28111	-0.481861	1.03534
106.807	14.031	1.52866	-0.194473	0.253063	106.831	14.0482	106.737	14.0724	1.37529	-0.457255	0.611842
106.757	14.0203	1.52566	-0.205598	0.275685	106.439	14.2401	106.737	14.0724	1.37529	-0.457255	1.11115
108.072	13.6649	1.61833	-0.113333	0.161012	108.084	13.6604	108.122	13.644	1.47592	-0.423202	0.105658
108.084	13.6672	1.64274	-0.0999917	0.176337	108.131	13.6844	108.122	13.644	1.47592	-0.423202	0.0390069
109.52	13.5705	1.72645	0.0694625	0.171501	109.534	13.5714	109.606	13.2536	1.58144	-0.378583	0.103911
109.482	13.5637	1.63394	0.0491147	0.152615	109.388	13.1556	109.606	13.2536	1.58144	-0.378583	0.404839
111.049	12.6068	1.7362	-0.957886	-0.546752	111.063	12.5814	111.196	12.9118	1.69008	-0.322574	1.47926
111.126	12.6758	1.92352	-0.49978	0.0758245	111.426	12.9557	111.196	12.9118	1.69008	-0.322574	3.03408
112.889	12.4625	1.82455	0.0897025	0.414533	112.913	12.4877	112.893	12.6299	1.7999	-0.254723	0.989009
112.885	12.4602	1.84326	0.0862595	0.412265	112.797	12.8241	112.893	12.6299	1.7999	-0.254723	0.0762972
114.774	12.5521	2.0028	0.0881627	0.149238	114.801	12.5506	114.699	12.4195	1.90891	-0.175007	0.652973
114.795	12.5526	1.97731	0.0760032	0.139827	114.916	12.3187	114.699	12.4195	1.90891	-0.175007	0.148482
116.671	12.1136	2.06646	-0.395736	-0.233536	116.687	12.1035	116.611	12.2921	2.01507	-0.0838683	0.57728
116.71	12.1389	2.25496	-0.223644	0.0157827	116.871	12.0659	116.611	12.2921	2.01507	-0.0838683	0.823364
118.905	11.997	2.47409	0.105508	0.220905	118.953	12.0009	118.628	12.2586	2.11648	0.0177712	0.956213
118.891	12.0032	2.36319	0.111198	0.226777	118.85	12.4063	118.628	12.2586	2.11648	0.0177712	0.213172
120.697	12.2936	2.35314	0.260562	0.178108	120.695	12.2918	120.743	12.3289	2.21139	0.128528	0.0100376
120.739	12.2977	2.34833	0.258849	0.181201	120.934	12.1905	120.743	12.3289	2.21139	0.128528	0.46409
123.508	12.82	2.67362	-0.00131117	-0.101877	123.568	12.8297	122.95	12.5114	2.29835	0.246599	2.882
123.436	12.8093	2.55842	-0.00323114	-0.120084	123.142	12.7694	122.95	12.5114	2.29835	0.246599	1.30776
124.917	12.7733	2.40279	-0.0957714	-0.105964	124.894	12.7743	125.242	12.8125	2.37624	0.369827	0.583345
125.015	12.7901	2.62427	-0.0183302	0.00490068	125.376	12.9964	125.242	12.8125	2.37624	0.369827	2.41137
127.81	13.3175	2.83788	0.438774	0.290791	127.853	13.3273	127.609	13.2365	2.44434	0.495787	1.70137
127.75	13.3093	2.83164	0.419609	0.268032	127.506	13.153	127.609	13.2365	2.44434	0.495787	0.919689
129.957	13.7113	2.62464	0.196663	-0.0393206	129.947	13.6963	130.042	13.7853	2.50232	0.621879	0.510251
130.025	13.7151	2.59491	0.181546	-0.0384548	130.334	13.781	130.042	13.7853	2.50232	0.621879	1.36817
132.09	14.502	2.63193	0.414435	0.135146	132.092	14.507	132.53	14.458	2.55028	0.74543	0.0950557
132.159	14.502	2.76489	0.34239	0.0265377	132.447	14.3423	132.53	14.458	2.55028	0.74543	1.17022
135.02	15.0399	3.03189	-0.00423481	-0.214823	135.074	15.0475	135.066	15.2513	2.58865	0.863795	1.7864
135.026	15.0315	2.8891	-0.0459933	-0.281803	135.127	14.6575	135.066	15.2513	2.58865	0.863795	0.313942
137.556	16.1992	2.82804	0.667941	0.355766	137.561	16.2147	137.639	16.1592	2.61821	0.974442	1.17647
137.581	16.1777	3.0506	0.453727	-0.0087524	137.653	16.5145	137.639	16.1592	2.61821	0.974442	0.957651
140.305	17.0071	3.11996	0.172816	-0.19107	140.331	17.008	140.242	17.1733	2.63994	1.07503	0.385875
140.312	17.0075	3.08264	0.177933	-0.181049	140.305	17.5379	140.242	17.1733	2.63994	1.07503	0.120239
142.885	17.9852	3.12941	0.414591	0.0889325	142.888	17.9918	142.868	18.2829	2.65497	1.16346	0.233641
142.839	17.9796	3.12699	0.410198	0.0821134	142.626	18.1458	142.868	18.2829	2.65497	1.16346	0.507974
145.379	19.1578	3.20231	0.418837	0.0335964	145.392	19.1617	145.51	19.4754	2.66445	1.23795	0.126965
145.459	19.1686	3.21638	0.413438	0.0445115	145.789	19.3785	145.51	19.4754	2.66445	1.23795	1.72434
148.225	20.467	3.3766	0.404146	0.00846837	148.251	20.4754	148.163	20.7364	2.66951	1.29702	0.458204
148.213	20.4716	3.22862	0.492701	0.16475	148.146	20.9376	148.163	20.7364	2.66951	1.29702	0.332413
150.671	22.1066	3.33202	0.627781	0.144273	150.686	22.1142	150.825	22.0502	2.67111	1.33953	0.192572
150.665	22.1008	3.38543	0.566908	0.0314213	150.649	21.8148	150.825	22.0502	2.67111	1.33953	0.122224
153.409	23.4897	3.3961	0.395679	-0.101142	153.422	23.4909	153.491	23.3999	2.66999	1.3647	0.148179
153.389	23.4847	3.26015	0.485734	0.0636057	153.466	22.9115	153.491	23.3999	2.66999	1.3647	0.400482
156.033	24.8043	3.32703	0.425542	-0.0173353	156.047	24.8084	156.159	24.7682	2.66666	1.37208	0.161052
156.025	24.8097	3.14274	0.530287	0.169904	156.009	25.0678	156.159	24.7682	2.66666	1.37208	0.459853
158.873	26.0197	3.27738	0.302299	-0.0897234	158.905	26.0308	158.827	26.1372	2.66127	1.36157	0.900039
158.902	26.024	3.24906	0.304451	-0.0750016	159.014	26.1903	158.827	26.1372	2.66127	1.36157	0.2705
161.409	27.4201	3.31164	0.557679	0.136537	161.412	27.4256	161.493	27.4891	2.65371	1.33344	0.15426
161.442	27.4321	3.2445	0.614329	0.234245	161.529	27.8454	161.493	27.4891	2.65371	1.33344	0.416243
163.639	28.7849	3.03403	0.595029	0.0718595	163.625	28.7683	164.155	28.8064	2.64354	1.28825	0.351045
163.747	28.8005	3.12195	0.531938	-0.0082565	164.116	29.315	164.155	28.8064	2.64354	1.28825	2.89278
166.76	30.1822	3.51156	0.294894	-0.160275	166.828	30.2062	166.809	30.0721	2.63006	1.22694	2.28304
166.721	30.1709	3.25198	0.377407	-0.0135805	166.748	29.7121	166.809	30.0721	2.63006	1.22694	1.05244
169.099	31.3703	3.25736	0.481046	0.0621691	169.097	31.3717	169.452	31.2706	2.61238	1.15075	0.0176596
169.119	31.3763	3.1837	0.52361	0.137661	169.345	30.7063	169.452	31.2706	2.61238	1.15075	0.257217
172.14	32.3308	3.30529	0.147984	-0.196705	172.175	32.3404	172.079	32.3873	2.58945	1.06126	1.11098
172.144	32.3248	3.12499	0.126848	-0.227742	172.135	32.6666	172.079	32.3873	2.58945	1.06126	0.396426
174.643	33.4529	3.11625	0.533559	0.181926	174.643	33.4625	174.685	33.4095	2.56021	0.960341	0.471224
174.626	33.4558	3.04585	0.574917	0.252359	174.474	33.9157	174.685	33.4095	2.56021	0.960341	0.12784
177.035	34.2165	2.83349	0.28746	-0.0940281	177.03	34.2009	177.261	34.3262	2.52363	0.850119	0.579615
177.049	34.2147	2.74636	0.29414	-0.0703332	177.211	33.8467	177.261	34.3262	2.52363	0.850119	0.217715
180.105	35.1331	3.01016	0.229185	-0.0656339	180.145	35.1423	179.799	35.1289	2.47883	0.732949	1.86239
180.007	35.1155	2.78702	0.261524	-0.0290224	179.543	35.4767	179.799	35.1289	2.47883	0.732949	2.47925
182.585	35.7498	2.88793	0.212248	-0.0409587	182.599	35.753	182.292	35.8114	2.42515	0.611338	0.294384
182.499	35.7347	2.71329	0.223717	-0.0291669	182.047	36.2626	182.292	35.8114	2.42515	0.611338	1.87456
184.726	36.5112	2.75947	0.383378	0.0901592	184.732	36.5155	184.73	36.37	2.36226	0.487877	0.0932265
184.727	36.5182	2.56231	0.450101	0.197228	184.833	36.1451	184.73	36.37	2.36226	0.487877	0.372665
186.935	36.9453	2.54179	0.09284	-0.153829	186.946	36.9404	187.103	36.804	2.29017	0.365145	0.405304
187.001	36.958	2.57752	0.0741646	-0.163874	187.296	36.9375	187.103	36.804	2.29017	0.365145	1.1213
189.447	37.3985	2.67569	0.260732	0.0609468	189.465	37.4052	189.401	37.1147	2.20928	0.245623	0.481002
189.48	37.4086	2.50045	0.293159	0.104401	189.738	36.951	189.401	37.1147	2.20928	0.245623	0.676345
191.724	37.5678	2.54038	-0.0499563	-0.178724	191.735	37.5631	191.615	37.3064	2.12037	0.131591	0.302968
191.7	37.5556	2.42213	-0.0952097	-0.253662	191.682	37.1147	191.615	37.3064	2.12037	0.131591	0.283327
193.481	37.2754	2.33923	-0.243074	-0.189434	193.471	37.2789	193.738	37.3853	2.02462	0.0250452	0.0874186
193.499	37.2785	2.33246	-0.24732	-0.204404	193.555	37.4234	193.738	37.3853	2.02462	0.0250452	0.0963767
195.932	37.3958	2.50851	0.246932	0.246064	195.991	37.3991	195.762	37.3598	1.92349	-0.072386	1.90778
195.834	37.4002	2.16622	0.275475	0.303157	195.507	37.4891	195.762	37.3598	1.92349	-0.072386	2.67345
197.714	37.733	2.20936	0.183994	0.0519653	197.725	37.7285	197.683	37.2395	1.81869	-0.159495	0.225106
197.671	37.7232	2.08119	0.181426	0.0483485	197.582	37.303	197.683	37.2395	1.81869	-0.159495	0.526196
199.298	37.3	2.02966	-0.390203	-0.336492	199.294	37.2862	199.497	37.0353	1.71212	-0.235529	0.472972
199.311	37.3028	2.03647	-0.387851	-0.332724	199.356	37.3527	199.497	37.0353	1.71212	-0.235529	0.04012
201.479	37.0031	2.25913	0.0130148	0.151143	201.549	36.9973	201.203	36.7587	1.6057	-0.300201	2.33723
201.361	36.9995	1.94409	-0.114947	-0.0395743	200.932	37.4694	201.203	36.7587	1.6057	-0.300201	3.1437
202.956	36.462	2.00891	-0.372258	-0.175394	202.962	36.4568	202.801	36.4212	1.50137	-0.353671	0.0887905
202.917	36.4428	1.87706	-0.514879	-0.384847	202.65	37.2445	202.801	36.4212	1.50137	-0.353671	0.563626
204.04	36.1498	1.3352	-0.449969	-0.126209	203.991	36.1967	204.294	36.0343	1.40095	-0.396497	1.97393
